country,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,sweetness,cupper_points,total_score,altitude_m,color,harvest_year
Thailand,Caturra,Washed / Wet,7.42,7.58,7.58,7.42,7.58,7.5,10.0,7.5,82.58,1450.0,Blue-Green,2014
"Tanzania, United Republic Of",Other,Washed / Wet,7.75,7.42,7.33,7.5,7.58,7.5,10.0,7.5,82.58,1317.0,,2014
Uganda,SL14,Natural / Dry,7.83,7.5,7.42,7.58,7.42,7.42,10.0,7.42,82.58,1650.0,Green,2013
Costa Rica,Catuai,Washed / Wet,7.67,7.42,7.5,7.67,7.0,7.75,10.0,7.58,82.58,1300.0,Green,2013
Mexico,,Washed / Wet,7.58,7.58,7.42,7.75,7.67,7.67,10.0,7.58,82.58,,Green,2014
Guatemala,,Natural / Dry,7.5,7.58,7.42,7.58,7.42,7.58,10.0,7.5,82.58,,Blue-Green,2012
Colombia,Caturra,Washed / Wet,7.75,7.25,7.33,7.42,7.5,7.83,10.0,7.5,82.58,1750.0,Blue-Green,2013
Colombia,Caturra,Washed / Wet,7.75,7.5,7.75,7.25,7.33,7.58,10.0,7.42,82.58,1750.0,,2012
Colombia,Caturra,Washed / Wet,7.58,7.5,7.42,7.58,7.67,7.42,10.0,7.42,82.58,1750.0,Green,2013
Mexico,Typica,Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.5,10.0,7.58,82.58,1250.0,Green,2012
Mexico,Typica,Washed / Wet,7.67,7.58,7.58,7.75,7.67,6.83,10.0,7.5,82.58,1150.0,Green,2012
Colombia,Caturra,Washed / Wet,7.33,7.42,7.58,7.42,7.67,7.5,10.0,7.67,82.58,1775.0,Green,2012
Brazil,Mundo Novo,,7.58,7.5,7.33,7.75,7.5,7.5,10.0,7.42,82.58,975.0,,2011
Brazil,Bourbon,Natural / Dry,7.5,7.5,7.5,7.5,7.58,7.5,10.0,7.42,82.5,890.0,Green,2017 / 2018
Indonesia,Other,Washed / Wet,7.83,7.75,7.25,7.5,7.42,7.33,10.0,7.42,82.5,1250.0,Green,2017
Honduras,Caturra,Washed / Wet,7.58,7.58,7.33,7.5,7.5,7.5,10.0,7.5,82.5,1400.0,Green,2017
Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.33,7.5,7.67,7.5,10.0,7.5,82.5,1219.2,Green,2016
Thailand,,Washed / Wet,7.5,7.83,7.5,7.75,7.33,7.42,10.0,7.83,82.5,800.0,Green,2014
Thailand,Caturra,Washed / Wet,7.33,7.5,7.5,7.5,7.67,7.5,10.0,7.5,82.5,1450.0,,2014
"Tanzania, United Republic Of",Other,Washed / Wet,7.67,7.42,7.33,7.58,7.5,7.5,10.0,7.5,82.5,1600.0,Green,2014
"Tanzania, United Republic Of",Other,Washed / Wet,7.75,7.0,7.42,7.58,7.58,7.58,10.0,7.58,82.5,,Bluish-Green,2014
Mexico,Other,Washed / Wet,7.42,7.58,7.5,7.67,7.25,7.5,10.0,7.58,82.5,1600.0,Green,2013
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.42,7.5,7.67,7.33,7.42,7.67,10.0,7.5,82.5,1260.0,Bluish-Green,2013/2014
Guatemala,Bourbon,Washed / Wet,7.83,7.42,7.33,7.67,7.42,7.5,10.0,7.33,82.5,1310.64,Green,2013
Colombia,Caturra,Washed / Wet,7.5,7.5,7.42,7.42,7.58,7.58,10.0,7.5,82.5,1750.0,Green,2013
Guatemala,Bourbon,Washed / Wet,7.83,7.67,7.17,7.33,7.5,7.67,10.0,7.33,82.5,1310.64,Green,2013
Mexico,Typica,Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.42,10.0,7.58,82.5,1679.0,,2012
Mexico,Typica,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,7.5,82.5,1100.0,Green,2012
Mexico,Typica,Semi-washed / Semi-pulped,7.92,7.5,7.33,7.58,7.25,7.42,10.0,7.5,82.5,1650.0,,2012
Guatemala,Caturra,Natural / Dry,7.67,7.33,7.33,7.33,7.5,7.83,10.0,7.5,82.5,,Green,2012
Brazil,Bourbon,Semi-washed / Semi-pulped,7.67,7.42,7.33,7.67,7.5,7.5,10.0,7.42,82.5,1250.0,Blue-Green,2012
Colombia,Caturra,Washed / Wet,7.67,7.5,7.33,7.5,7.25,7.67,10.0,7.58,82.5,1775.0,Green,2012
United States (Hawaii),Hawaiian Kona,Washed / Wet,7.33,7.42,7.33,7.75,7.42,7.67,10.0,7.58,82.5,,Green,2012
Guatemala,,,7.75,7.58,7.67,7.67,7.58,7.58,10.0,7.33,82.5,1600.0,,
Honduras,Other,Washed / Wet,7.42,7.67,7.17,7.58,7.58,7.5,10.0,7.5,82.42,1500.0,Green,2017
Guatemala,Bourbon,Washed / Wet,7.58,7.5,7.33,7.75,7.33,7.5,10.0,7.42,82.42,1700.0,Green,2017
Guatemala,Bourbon,Washed / Wet,7.67,7.58,7.25,7.67,7.42,7.33,10.0,7.5,82.42,1700.0,Green,2016
Guatemala,Bourbon,Washed / Wet,7.58,7.5,7.25,7.67,7.5,7.5,10.0,7.42,82.42,157.8864,Green,2017
Guatemala,Caturra,Washed / Wet,7.5,7.42,7.08,7.75,7.67,7.5,10.0,7.5,82.42,,Green,2017
Colombia,Caturra,Washed / Wet,5.08,7.75,7.83,7.75,7.83,8.08,10.0,8.08,82.42,1600.0,Green,2016
China,Catimor,Washed / Wet,7.67,7.42,7.42,7.5,7.42,7.42,10.0,7.58,82.42,1600.0,Green,2015
Brazil,,,7.42,7.5,7.33,7.5,7.25,7.42,10.0,8.0,82.42,,Green,2016
"Tanzania, United Republic Of",Ruiru 11,Washed / Wet,7.67,7.25,7.42,7.42,7.67,7.42,10.0,7.58,82.42,2285.0,Green,2015/2016
Brazil,Yellow Bourbon,Natural / Dry,7.17,7.83,7.33,7.5,7.75,7.42,10.0,7.42,82.42,1.0,Green,2015/2016
Guatemala,Caturra,Washed / Wet,7.5,7.5,7.5,7.67,7.42,7.5,10.0,7.33,82.42,1400.0,Green,2013
Mexico,Typica,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10.0,7.58,82.42,1296.0,Green,2014
Brazil,Catuai,Semi-washed / Semi-pulped,7.58,7.67,7.33,7.5,7.5,7.42,10.0,7.42,82.42,1000.0,Blue-Green,2012
Peru,,Washed / Wet,7.58,7.58,7.58,7.75,7.5,7.58,10.0,7.5,82.42,,Green,2013
Brazil,Yellow Bourbon,Natural / Dry,7.25,7.33,7.25,7.5,7.42,7.5,10.0,8.17,82.42,1260.0,Green,2013/2014
Mexico,Bourbon,Washed / Wet,7.5,7.58,7.5,7.92,7.42,7.67,10.0,7.5,82.42,1170.0,Green,2013
Honduras,,Washed / Wet,7.25,7.67,7.42,7.17,7.75,7.5,10.0,7.67,82.42,,,2012
Colombia,Caturra,Washed / Wet,7.67,7.42,7.33,7.5,7.58,7.5,10.0,7.42,82.42,1775.0,Green,2013
Mexico,Typica,Washed / Wet,7.5,7.42,7.42,7.67,7.42,7.58,10.0,7.42,82.42,1560.0,Green,2013
Mexico,Typica,Semi-washed / Semi-pulped,7.42,7.58,7.5,7.42,7.58,7.5,10.0,7.42,82.42,1400.0,Green,2012
Mexico,Typica,Washed / Wet,7.42,7.58,7.33,7.58,7.5,7.5,10.0,7.5,82.42,1300.0,Green,2012
Mexico,Caturra,Washed / Wet,7.75,7.33,7.25,7.58,7.58,7.33,10.0,7.58,82.42,1170.0,Green,2012
Mexico,Typica,Washed / Wet,7.5,7.58,7.33,7.5,7.5,7.5,10.0,7.5,82.42,1300.0,Green,2012
Mexico,Pacamara,Washed / Wet,7.58,7.58,7.17,7.5,7.5,7.5,10.0,7.58,82.42,1350.0,Green,2012
Mexico,Caturra,Washed / Wet,7.58,7.33,7.33,7.58,7.5,7.5,10.0,7.58,82.42,1150.0,Green,2012
Mexico,Bourbon,Washed / Wet,7.67,7.58,7.33,7.42,7.58,7.33,10.0,7.5,82.42,1250.0,,2012
Mexico,Typica,Washed / Wet,7.83,7.5,7.42,7.67,7.17,7.33,10.0,7.5,82.42,1450.0,Bluish-Green,2012
Colombia,Caturra,Natural / Dry,7.67,7.33,7.25,7.42,7.5,7.67,10.0,7.58,82.42,442.0,,2012
Brazil,Arusha,Natural / Dry,7.75,7.5,7.42,7.42,7.5,7.42,10.0,7.42,82.42,,Blue-Green,2012
Colombia,Caturra,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.58,10.0,7.75,82.42,1750.0,Green,2011
Colombia,,,7.58,7.25,7.42,7.25,7.58,7.83,10.0,7.5,82.42,1750.0,,3T/2011
Honduras,Caturra,Washed / Wet,7.5,7.58,7.33,7.5,7.42,7.42,10.0,7.58,82.33,1396.0,Green,2017
Brazil,Catuai,Natural / Dry,7.33,7.5,7.5,7.33,7.5,7.5,10.0,7.67,82.33,982.0,Green,2016
Brazil,,Natural / Dry,7.42,7.42,7.42,7.5,7.5,7.58,10.0,7.5,82.33,,Green,2016 / 2017
Brazil,Bourbon,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10.0,7.5,82.33,934.0,Bluish-Green,2016
Costa Rica,Caturra,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10.0,7.5,82.33,1850.0,Bluish-Green,2015
Costa Rica,Catuai,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10.0,7.33,82.33,1550.0,Green,2015
China,Catimor,Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10.0,7.5,82.33,1580.0,Green,2015
Brazil,Bourbon,Natural / Dry,8.25,7.83,7.25,8.33,8.17,8.08,10.0,7.75,82.33,1268.0,Green,2015/2016
Brazil,Mundo Novo,Natural / Dry,7.42,7.5,7.5,7.42,7.5,7.58,10.0,7.42,82.33,,Green,2015
Guatemala,Bourbon,Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10.0,7.42,82.33,1676.4,Green,2015
Malawi,Gesha,Washed / Wet,7.33,7.58,7.42,7.58,7.33,7.5,10.0,7.58,82.33,1450.0,Green,2014
Brazil,Bourbon,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8.0,6.67,8.0,82.33,1100.0,Blue-Green,2014/2015
Guatemala,Pacas,Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,10.0,7.42,82.33,1524.0,Green,2014
Mexico,,Washed / Wet,7.33,7.58,7.42,7.5,7.5,7.5,10.0,7.5,82.33,,Green,2014
Colombia,Caturra,Washed / Wet,7.42,7.33,7.5,7.17,7.08,8.33,10.0,7.5,82.33,1300.0,Green,2013
Taiwan,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.5,7.5,7.5,10.0,7.33,82.33,200.0,Green,2013/2014
Taiwan,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,7.33,82.33,600.0,Green,2013/2014
Guatemala,Bourbon,Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10.0,7.25,82.33,1310.64,Green,2013
Colombia,Caturra,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10.0,7.33,82.33,1750.0,Green,2013
Mexico,Typica,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10.0,7.42,82.33,1300.0,Green,2013
Costa Rica,,Washed / Wet,7.92,7.58,7.25,7.75,7.92,7.58,10.0,7.67,82.33,,Green,2012
Guatemala,Bourbon,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,7.33,82.33,1752.6,Green,2012
Mexico,Typica,Natural / Dry,7.58,7.67,7.58,7.33,7.0,7.58,10.0,7.58,82.33,441.0,,2012
Mexico,Bourbon,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10.0,7.0,82.33,1170.0,Green,2012
Guatemala,Bourbon,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10.0,7.5,82.33,1310.64,Green,2012
Brazil,Mundo Novo,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10.0,7.42,82.33,1100.0,Green,2012
Mexico,Typica,Washed / Wet,8.0,7.75,7.33,7.33,7.08,7.67,10.0,7.83,82.33,1300.0,Green,2012
Brazil,Mundo Novo,Washed / Wet,7.58,7.58,7.25,7.58,7.42,7.5,10.0,7.42,82.33,950.0,Green,2012
Colombia,Caturra,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10.0,7.33,82.33,442.0,Green,2012
Brazil,Catuai,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10.0,7.5,82.25,1100.0,Green,
Taiwan,,,7.0,7.08,7.0,7.17,7.0,7.0,10.0,10.0,82.25,,Blue-Green,2016/2017
Guatemala,Pacas,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10.0,7.33,82.25,1450.0,Green,2016
Brazil,Yellow Bourbon,Natural / Dry,7.42,7.67,7.5,7.08,7.5,7.42,10.0,7.67,82.25,1.0,Green,2015/2016
El Salvador,Bourbon,Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,7.58,82.25,1500.0,Green,2014
Honduras,Catuai,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10.0,7.33,82.25,1350.0,Green,2015
Malawi,Gesha,Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10.0,7.42,82.25,1180.0,Blue-Green,2014
Brazil,Bourbon,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10.0,7.42,82.25,1100.0,Green,2014/2015
Taiwan,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,7.25,82.25,650.0,Green,2013/2014
Mexico,Mundo Novo,Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10.0,7.42,82.25,1338.0,Blue-Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.33,7.42,7.5,7.67,7.5,7.42,10.0,7.42,82.25,,Bluish-Green,2013
Mexico,Bourbon,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10.0,7.58,82.25,533.0,,2012
Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10.0,7.33,82.25,1390.8024,Green,2012
Mexico,Bourbon,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10.0,7.33,82.25,1170.0,Green,2012
Mexico,Typica,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10.0,7.33,82.25,1250.0,Green,2012
El Salvador,Other,Washed / Wet,7.75,7.33,7.33,7.5,7.5,7.5,10.0,7.33,82.25,,Green,2012
Mexico,Typica,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10.0,7.42,82.25,1100.0,Green,2012
Mexico,Typica,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10.0,7.42,82.25,900.0,Green,2012
Colombia,Caturra,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10.0,7.42,82.25,1750.0,Green,2012
Colombia,Caturra,Washed / Wet,7.67,7.33,7.33,7.33,7.5,7.5,10.0,7.58,82.25,1775.0,Green,2012
Brazil,Arusha,Natural / Dry,7.67,7.58,7.42,7.0,7.5,7.58,10.0,7.5,82.25,,Green,2012
Colombia,,,7.17,7.25,7.58,7.25,7.58,7.67,10.0,7.75,82.25,,,
Brazil,Bourbon,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10.0,7.5,82.17,934.0,Green,2016
Honduras,Caturra,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10.0,7.58,82.17,1500.0,Bluish-Green,2015
Nicaragua,,,7.5,7.5,7.33,7.42,7.5,7.42,10.0,7.5,82.17,1000.0,Green,
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10.0,7.5,82.17,1650.0,Green,2015
"Tanzania, United Republic Of",Other,Washed / Wet,7.42,7.42,7.42,7.5,7.5,7.33,10.0,7.58,82.17,1600.0,Green,2015/2016
Brazil,Yellow Bourbon,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10.0,7.58,82.17,1.0,Green,2015/2016
Thailand,,Washed / Wet,7.42,7.42,7.17,7.75,7.25,7.67,10.0,7.5,82.17,800.0,Bluish-Green,2014
Honduras,Catuai,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10.0,7.33,82.17,1350.0,Green,2015
Guatemala,Bourbon,Washed / Wet,7.42,7.42,7.5,7.5,7.42,7.5,10.0,7.42,82.17,1500.0,Blue-Green,2014
Brazil,Mundo Novo,Natural / Dry,7.58,7.5,7.42,7.25,7.5,7.42,10.0,7.5,82.17,,Green,2014
"Tanzania, United Republic Of",Other,Washed / Wet,7.75,7.42,7.42,7.58,7.33,7.42,10.0,7.25,82.17,1700.0,Green,2014
Mexico,Other,Washed / Wet,7.42,7.33,7.17,7.42,7.33,8.17,10.0,7.33,82.17,1100.0,Green,2013
Mexico,Other,Washed / Wet,7.5,7.5,7.33,7.42,7.5,7.42,10.0,7.5,82.17,1400.0,,2013
Taiwan,Typica,Other,7.5,7.5,7.5,7.5,7.5,7.5,10.0,7.17,82.17,1200.0,Green,2013/2014
Taiwan,Typica,Washed / Wet,7.67,7.5,7.5,7.17,7.17,7.58,10.0,7.58,82.17,800.0,Green,2012
Colombia,Caturra,Washed / Wet,7.33,7.25,7.25,7.58,7.75,7.5,10.0,7.5,82.17,1750.0,Bluish-Green,2013
Mexico,Typica,Washed / Wet,7.5,7.67,7.0,7.5,7.33,7.5,10.0,7.67,82.17,1144.0,,2012
Guatemala,Caturra,Washed / Wet,7.25,7.75,7.0,7.75,8.17,7.75,9.33,7.17,82.17,1350.0,,2012
Mexico,Typica,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10.0,7.5,82.17,1000.0,Green,2012
Mexico,Typica,Washed / Wet,7.0,7.67,7.5,7.5,7.42,7.5,10.0,7.58,82.17,1200.0,Green,2012
Colombia,,,7.58,7.67,7.42,7.17,7.17,7.75,10.0,7.42,82.17,1800.0,,4T/10
Indonesia,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,7.5,7.42,10.0,7.33,82.08,1300.0,,2017
Colombia,Caturra,Washed / Wet,7.75,7.58,7.42,7.67,7.83,7.58,10.0,7.58,82.08,,Green,2016
Brazil,Bourbon,Natural / Dry,7.42,7.58,7.42,7.5,7.42,7.25,10.0,7.5,82.08,894.0,Green,2016
Brazil,Yellow Bourbon,Natural / Dry,7.25,7.25,7.58,7.58,7.25,7.92,10.0,7.25,82.08,1.0,Green,2015/2016
Costa Rica,Caturra,Washed / Wet,7.75,7.42,7.42,7.25,7.17,7.42,10.0,7.67,82.08,1300.0,Blue-Green,2015
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.42,7.33,7.42,7.42,7.5,7.58,10.0,7.42,82.08,1500.0,Green,2014
"Tanzania, United Republic Of",Other,Washed / Wet,7.42,7.5,7.5,7.33,7.33,7.5,10.0,7.5,82.08,1600.0,Green,2014
Colombia,,Washed / Wet,7.5,7.42,7.42,7.42,7.67,7.42,10.0,7.25,82.08,,Green,2013
Costa Rica,Caturra,Washed / Wet,7.58,7.33,7.33,7.33,7.5,7.67,10.0,7.33,82.08,13.0,Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.25,7.58,7.58,7.25,7.5,7.42,10.0,7.5,82.08,,Bluish-Green,2012
Mexico,Typica,Washed / Wet,7.42,7.58,7.5,7.33,7.42,7.42,10.0,7.42,82.08,1300.0,Green,2012
Mexico,Typica,Washed / Wet,7.5,7.42,7.42,7.5,7.25,7.5,10.0,7.5,82.08,1800.0,Green,2012
Mexico,Typica,Washed / Wet,7.67,7.5,7.25,7.58,7.42,7.33,10.0,7.33,82.08,1250.0,Green,2012
Vietnam,Other,Natural / Dry,7.67,8.0,7.17,7.08,7.67,7.08,10.0,7.42,82.08,1040.0,Green,2012
Mexico,Typica,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10.0,7.33,82.08,1250.0,Green,2012
United States (Hawaii),Hawaiian Kona,Washed / Wet,7.33,7.5,7.33,7.58,7.08,7.83,10.0,7.42,82.08,,Green,2012
Colombia,,,7.67,7.42,7.67,7.33,7.25,7.58,10.0,7.17,82.08,1600.0,,January 2011
Honduras,Caturra,Washed / Wet,7.5,7.5,7.17,7.5,7.5,7.42,10.0,7.42,82.0,1600.0,Green,2017
Honduras,Caturra,Natural / Dry,7.5,7.5,7.25,7.33,7.42,7.5,10.0,7.5,82.0,1600.0,Green,2016
Brazil,Bourbon,Natural / Dry,7.5,7.33,7.42,7.5,7.33,7.42,10.0,7.5,82.0,944.0,Green,2016
"Tanzania, United Republic Of",Other,Washed / Wet,7.67,7.33,7.33,7.42,7.42,7.42,10.0,7.42,82.0,1650.0,Green,2015
Laos,Other,Washed / Wet,7.42,7.5,7.25,7.33,7.5,7.5,10.0,7.5,82.0,1250.0,Blue-Green,2015
"Tanzania, United Republic Of",Other,Washed / Wet,7.42,7.42,7.33,7.58,7.33,7.42,10.0,7.5,82.0,1350.0,Green,2014
Malawi,Gesha,Washed / Wet,7.5,7.42,7.33,7.58,7.33,7.5,10.0,7.33,82.0,2500.0,Bluish-Green,2014
Taiwan,Typica,Washed / Wet,7.33,7.5,7.17,7.42,7.5,7.33,10.0,7.75,82.0,600.0,Green,2013
Thailand,,Washed / Wet,7.58,7.5,7.42,7.42,7.33,7.42,10.0,7.33,82.0,800.0,Green,2013
Costa Rica,Catuai,Washed / Wet,7.5,7.25,7.33,7.33,7.75,7.5,10.0,7.33,82.0,1300.0,Green,2013
Honduras,Caturra,Washed / Wet,7.33,7.33,7.33,7.5,7.5,7.83,10.0,7.17,82.0,1400.0,Green,2014
Colombia,Caturra,Washed / Wet,7.33,7.33,7.58,7.5,7.5,7.58,10.0,7.17,82.0,1900.0,Green,2013
Taiwan,Typica,Washed / Wet,7.42,7.58,7.33,7.42,8.0,7.5,10.0,7.42,82.0,650.0,Bluish-Green,2012
Brazil,Mundo Novo,Natural / Dry,7.33,7.67,7.42,7.17,7.33,7.42,10.0,7.67,82.0,1038.5,Blue-Green,2012
Mexico,Typica,Washed / Wet,7.67,7.33,7.25,7.5,7.42,7.42,10.0,7.42,82.0,940.0,Green,2012
Brazil,Mundo Novo,Natural / Dry,7.42,7.5,7.33,7.5,7.33,7.5,10.0,7.42,82.0,1000.0,Green,2012
Brazil,Catuai,Semi-washed / Semi-pulped,7.42,7.5,7.25,7.5,7.5,7.42,10.0,7.42,82.0,1050.0,Blue-Green,2012
Guatemala,Bourbon,Natural / Dry,7.33,7.33,7.33,7.5,7.67,7.67,10.0,7.17,82.0,,Green,2012
Brazil,Mundo Novo,Semi-washed / Semi-pulped,7.58,7.5,7.17,7.5,7.5,7.42,10.0,7.33,82.0,950.0,Green,2012
Guatemala,Bourbon,Washed / Wet,7.75,7.33,7.33,7.42,7.75,7.67,9.33,7.42,82.0,1402.08,Green,2012
Colombia,Caturra,,7.33,7.0,7.08,7.42,7.5,7.67,10.0,8.0,82.0,1775.0,,Mayo a Julio
Guatemala,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,10.0,7.58,81.92,1901.0,Green,2017
Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10.0,7.42,81.92,1219.2,Green,2017
Honduras,Caturra,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10.0,7.33,81.92,1400.0,Green,2017
Brazil,Catuai,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10.0,7.5,81.92,1020.0,Green,2016 / 2017
El Salvador,Bourbon,Washed / Wet,7.67,7.58,7.33,7.5,7.5,7.67,9.33,7.33,81.92,1250.0,Green,2014
Guatemala,Catuai,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10.0,7.25,81.92,1550.0,Green,2015
"Tanzania, United Republic Of",Other,Washed / Wet,7.33,7.33,7.33,7.42,7.5,7.58,10.0,7.42,81.92,1877.0,Green,2014
Nicaragua,,Washed / Wet,7.58,7.42,7.25,7.17,7.5,7.67,10.0,7.33,81.92,,Green,2013
Zambia,SL28,Washed / Wet,7.67,7.08,7.42,7.33,7.75,7.42,10.0,7.25,81.92,1250.0,,2014
Honduras,,Washed / Wet,7.42,7.33,7.33,7.58,7.33,7.5,10.0,7.42,81.92,,Green,2012
Taiwan,Typica,Other,7.5,7.5,7.42,7.25,7.5,7.5,10.0,7.25,81.92,1000.0,Green,2012
Mexico,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.5,7.25,10.0,7.25,81.92,1300.0,Green,2013
Mexico,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10.0,7.42,81.92,981.0,,2012
Mexico,Mundo Novo,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10.0,7.58,81.92,690.0,,2012
Mexico,Other,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.33,10.0,7.5,81.92,1650.0,Green,2012
Mexico,Bourbon,Washed / Wet,7.67,7.42,7.33,7.83,7.5,7.5,10.0,7.33,81.92,1000.0,Green,2012
Brazil,Mundo Novo,Natural / Dry,7.42,7.58,7.25,7.5,7.33,7.5,10.0,7.33,81.92,1100.0,Green,2012
Colombia,,,7.67,7.33,7.33,7.58,7.33,7.33,10.0,7.33,81.92,1600.0,,4T/2010
Guatemala,Bourbon,Washed / Wet,7.42,7.5,7.25,7.5,7.33,7.42,10.0,7.42,81.83,157.8864,Green,2017
Costa Rica,Catuai,Pulped natural / honey,7.25,7.33,7.5,7.33,7.67,7.42,10.0,7.33,81.83,1900.0,Green,2016
Brazil,Mundo Novo,Natural / Dry,7.42,7.5,7.42,7.5,7.42,7.25,10.0,7.33,81.83,973.0,Green,2016
Indonesia,Other,Other,7.75,7.83,7.58,7.75,7.92,7.83,10.0,5.17,81.83,1250.0,Green,2015
Guatemala,Bourbon,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10.0,7.17,81.83,3280.0,Green,2015
Brazil,Yellow Bourbon,Natural / Dry,7.17,7.58,6.83,7.5,7.75,7.25,10.0,7.75,81.83,1.0,Green,2015/2016
Brazil,Yellow Bourbon,Natural / Dry,7.58,7.0,6.92,6.92,7.67,7.5,10.0,8.25,81.83,1.0,Green,2015/2016
Myanmar,Catuai,Washed / Wet,7.33,7.58,7.5,7.42,7.33,7.33,10.0,7.33,81.83,4001.0,Green,2015
Mexico,Catuai,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10.0,7.42,81.83,1425.0,Green,2015
Honduras,Catuai,Washed / Wet,7.5,7.5,7.33,7.5,7.42,7.25,10.0,7.33,81.83,1400.0,Green,2015
Costa Rica,Caturra,Washed / Wet,7.67,7.5,7.5,7.25,7.08,7.42,10.0,7.42,81.83,1300.0,Green,2015
Taiwan,Typica,Washed / Wet,7.67,7.33,7.17,7.25,7.75,7.33,10.0,7.33,81.83,700.0,Green,2014
Indonesia,Typica,Other,7.42,7.42,7.42,7.33,7.42,7.42,10.0,7.42,81.83,1300.0,,2014
Malawi,Gesha,Washed / Wet,7.58,7.42,7.33,7.33,7.33,7.42,10.0,7.42,81.83,1556.0,Green,2014
Brazil,Bourbon,Natural / Dry,7.33,7.58,7.25,7.17,7.83,7.33,10.0,7.33,81.83,1100.0,Green,2014/2015
Honduras,Caturra,Natural / Dry,7.5,7.5,7.33,7.33,7.33,7.33,10.0,7.5,81.83,1350.0,Green,2014
Mexico,Typica,Washed / Wet,7.42,7.42,7.25,7.5,7.33,7.42,10.0,7.5,81.83,1550.0,Green,2014
Colombia,Caturra,Washed / Wet,7.5,7.5,7.0,7.42,7.5,7.58,10.0,7.33,81.83,1775.0,Bluish-Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.83,7.83,7.83,8.0,7.83,7.83,10.0,8.0,81.83,,Bluish-Green,2012
