country,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,sweetness,cupper_points,total_score,altitude_m,color,harvest_year
El Salvador,Bourbon,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,8.0,84.67,1350.0,Blue-Green,2016
Indonesia,Java,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,7.92,84.67,1200.0,Green,2016
Japan,Mundo Novo,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,8.08,84.67,170.0,Green,
Costa Rica,Catuai,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,7.92,84.67,1150.0,Blue-Green,2015
Guatemala,Bourbon,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,7.83,84.67,1600.0,Green,2015
Costa Rica,Caturra,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,7.92,84.67,1750.0,Green,2014
Ethiopia,Ethiopian Yirgacheffe,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10.0,7.92,84.67,1900.0,,2014
Costa Rica,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,7.67,84.67,1750.0,Green,2014
Costa Rica,Catuai,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,8.0,84.67,1200.0,Green,2014
Costa Rica,,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8.0,9.33,7.92,84.67,,Green,2012
Taiwan,Typica,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,7.75,84.67,1000.0,Green,2013/2014
Colombia,Caturra,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,7.92,84.67,1550.0,Green,2013
Kenya,SL28,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,7.83,84.67,2000.0,Bluish-Green,2012
Guatemala,Bourbon,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,7.67,84.67,1310.64,Green,2012
Guatemala,Bourbon,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,8.0,84.67,1524.0,Green,2012
Mexico,Typica,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10.0,7.92,84.67,1200.0,,2012
Uganda,Other,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10.0,7.83,84.67,1775.0,Blue-Green,2012
Peru,,,7.67,7.83,7.75,7.75,7.92,7.83,10.0,7.92,84.67,,,
Ethiopia,,,7.42,7.75,7.75,8.0,8.0,7.92,10.0,7.83,84.67,1750.0,,2009/2010
Kenya,SL34,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10.0,7.83,84.58,1754.0,Blue-Green,
Colombia,Other,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,8.08,84.58,1500.0,Blue-Green,2016
Colombia,Caturra,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,7.75,84.58,,Green,2016
Kenya,Peaberry,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,7.92,84.58,1800.0,Bluish-Green,2013
